NASA PHOTO NO.|photo_num|mag_number|mag_code|film_type|revolution_num|alt_km|sun_elevation|lens_mm|camera_tilt|camera_azimuth|principal_lat|principal_long|description
149-22849|22849|149|KK|SO-368|52|112|79|80|28|273|04.1 N|77.7 E|BANACHIEWICZ, SW RIM, LM RENDEZVOUS
139-21296|21296|139|K|3401|66|112|79|60|30|228|02.8 N|63.8 E|WEBB, FOAMING SEA
145-22249|22249|145|D|SO-368|52|||60||||66.5 E|SIM BAY INSPECTION, FIRMICUS M
145-22250|22250|145|D|SO-368|52|||60||||68.5 E|SIM BAY INSPECTION, CONDORCET D,
145-22252|22252|145|D|SO-368|52|||60||||64.5 E|SIM BAY INSPECTION, AUZOUT, A
145-22254|22254|145|D|SO-368|52|||60||||64.5 E|SIM BAY INSPECTION, AUZOUT, A
145-22256|22256|145|D|SO-368|52|||60||||61.0 E|SIM BAY INSPECTION, APOLLONIUS
149-22787|22787|149|KK|SO-368|01|208|34|80|44|196|11.7 N|63.3 E|FIRMICUS, CRISES, SEA OF
150-22995|22995|150|LL|SO-368|25|120|59|250|27|201|11.8 N|66.0 E|CONDORCET T
150-23032|23032|150|LL|SO-368|28|119|57|80|14|189|13.3 N|61.6 E|PICARD X, Y
150-23033|23033|150|LL|SO-368|28|119|57|80|15|190|13.3 N|60.9 E|PICARD X, Y
151-23261|23261|151|OO|SO-368|64|112|82|250|50|148|03.1 N|62.8 E|APOLLONIUS G
152-23283|23283|152|PP|SO-368|74|110|71|250|12|050|02.6 N|63.6 E|WEBB C, N OF
153-23421|23421|153|MM|SO-368|29|119|59|250|47|006|18.0 N|64.7 E|CRISES, SEA OF
153-23422|23422|153|MM|SO-368|29|119|58|250|43|349|17.3 N|63.0 E|CRISES, SEA OF
153-23423|23423|153|MM|SO-368|29|119|58|250|33|349|16.2 N|62.7 E|CRISES, SEA OF
153-23424|23424|153|MM|SO-368|29|118|57|250|34|351|16.5 N|62.2 E|CRISES, SEA OF
153-23425|23425|153|MM|SO-368|29|118|57|250|32|352|16.4 N|62.0 E|CRISES, SEA OF
153-23426|23426|153|MM|SO-368|29|118|57|250|36|353|16.9 N|61.7 E|CRISES, SEA OF
153-23427|23427|153|MM|SO-368|29|118|56|250|37|355|17.1 N|61.4 E|CRISES, SEA OF
153-23428|23428|153|MM|SO-368|29|118|56|250|32|345|16.6 N|60.6 E|CRISES, SEA OF
153-23429|23429|153|MM|SO-368|29|118|56|250|32|355|16.7 N|60.6 E|CRISES, SEA OF
153-23430|23430|153|MM|SO-368|29|118|56|250|32|352|16.8 N|60.2 E|CRISES, SEA OF
145-22257|22257|145|D|SO-368|52|||60||||54.0 E|SIM BAY INSPECTION, LICK, CRISES, SEA OF
