|2012|Trace element geochemistry of Apollo samples 78235: Potential connections with other Mg-suite norites (abs#2622)|Simmons, S. T. and Lapan, T. J.|Proceedings of the 43rd Lunar and Planetary Science Conference, |nan||nan||nan
|2012|SIMS Pb/Pb ages of baddeleyite and zirconolite in Apollo 17 norite 78235: Implications for shock histories of extraterrestrial rocks (abs#1038)|Zhang, A. C., Taylor, L. A., Wang, R. C., Li, Q. L., Li, Q. L., Patchen, A. D., and Liu, Y.|Proceedings of the 43rd Lunar and Planetary Science Conference, |nan||nan||nan
|2006|Disturbance of U-Pb isotopic systematics in lunar samples: Mare basalt 10017 and norite 78235 (abs#1506)|Edmunson, J., Gaffney, A. M., and Borg, L. E.|Proceedings of the 37th Lunar and Planetary Science Conference, |nan||nan||nan
|1994|Siderophile and volatile elements in Apollo 17 impact melts (abs)|James, O. B.|Proceedings of the 25th Lunar and Planetary Science Conference|nan||617-618 ||nan
|1993|Isotopic ages and characteristics of ancient (pre-Serenitatis) crustal rocks at Apollo 17|Premo, W. R. and Tatsumoto, M.|Proceedings of the Workshop on Geology of the Apollo 17 Landing Site|nan||45-48 ||nan
|1993|The Apollo 17 samples: The massifs and landslide|Ryder, G.|Proceedings of the Workshop on Geology of the Apollo 17 Landing Site|nan||48-49 ||nan
|1993|A concise compilation of petrologic information on possibly pristine nonmare Moon rocks|Warren, P. H.|American Mineralogist|nan||360-376 ||nan
|1992|The isotopic record of lunar volcanism|Nyquist, L. E. and Shih, C.-Y.|Geochimica et Cosmochimica Acta|56 (6)||2213-2234||http://dx.doi.org/10.1016/0016-7037(92)90185-l
|1992|Acid leaching of apatite: Implications for U-Th-Pb systematics of lunar highland plutonic rocks (abs)|Premo, W. R. and Tatsumoto, M.|Proceedings of the 23rd Lunar and Planetary Science Conference|nan||1101-1102 ||nan
|1992|U-Pb isotopes in dunite 72415 (abs)|Premo, W. R. and Tatsumoto, M.|Proceedings of the 23rd Lunar and Planetary Science Conference|nan||1103-1104 ||nan
|1992|U-Th-Pb, Rb-Sr, and Sm-Nd isotopic systematics of lunar troctolite cumulate 76535: Implications on the age and origin of this early lunar, deep-seated cumulate|Premo, W. R. and Tatsumoto, M.|Proceedings of the 22nd Lunar and Planetary Science Conference|nan||381-397 ||nan
|1991|Mineral compositions in pristine lunar highland rocks and the diversity of highland magmatism|Bersch, M. G., Taylor, G. J., Keil, K., and Norman, M. D.|Geophysical Research Letters|18 (11)||2085-2088||http://dx.doi.org/10.1029/91GL02540
|1991|Fe-Mn-Mg in plagioclase from lunar basalt and highland samples (abs)|Delaney, J. S. and Sutton, S. R.|Proceedings of the 22nd Lunar and Planetary Science Conference|nan||299-300 ||nan
|1991|Rb-Sr and Sm-Nd ages for lunar norite 78235/78236: Implications on the U-Pb isotopic systematics in this high-Mg rock (abs)|Premo, W. R.|Proceedings of the 22nd Lunar and Planetary Science Conference|nan||1089-1090 ||nan
|1991|Pb isotopes in troctolite 76535 (abs)|Premo, W. R. and Tatsumoto, M.|Proceedings of the 22nd Lunar and Planetary Science Conference|nan||1093-1094 ||nan
|1991|U-Th-Pb isotopic systematics of lunar norite 78235|Premo, W. R. and Tatsumoto, M.|Proceedings of the 21st Lunar and Planetary Science Conference|nan||89-100 ||nan
|1990|Petrology of the olivine mountains at Copernicus (abs)|Pieters, C. M., Pratt, S. F., and Sunshine, J. M.|Proceedings of the 21st Lunar and Planetary Science Conference|nan||962-963 ||nan
|1990|Pb isotopes in norite 78235 (abs)|Premo, W. R. and Tatsumoto, M.|Proceedings of the 21st Lunar and Planetary Science Conference|nan||977-978 ||nan
|1989|Millimeter petrology and kilometer mineral exploration of the Moon|Pieters, C. M. and Taylor, G. J.|Proceedings of the 19th Lunar and Planetary Science Conference|nan||115-125 ||nan
|1987|The Lunar Petrographic Thin Section Set|Meyer, C.|nan|nan||nan||nan
|1987|Pristine moon rocks: A "large" felsite and a metal-rich ferroan anorthosite|Warren, P. H., Jerde, E. A., and Kallemeyn, G. W.|Journal of Geophysical Research|90 (B4)||E303-E313||http://dx.doi.org/10.1029/JB092iB04p0E303
