|1999|Space weathering on the Moon: Patina on Apollo 17 samples 75075 and 76015|Wentworth, S. J., Keller, L. P., McKay, D. S., and Morris, R. V.|Meteoritics & Planetary Science|34||593-603 ||nan
|1993|Formation interval for the lunar mantle and implications for lunar evolution (abs)|Nyquist, L. E., Shih, C.-Y., Wiesmann, H., and Bansal, B. M.|Proceedings of the 24th Lunar and Planetary Science Conference|nan||1095-1096 ||nan
|1990|Resolution of ages and Sm-Nd isotopic characteristics in Apollo 17 high-Ti basalts (abs)|Paces, J. B., Nakai, S., Neal, C. R., Taylor, L. A., Halliday, A. N., Lee, D.-C., and McKinney, M. C.|Proceedings of the 21st Lunar and Planetary Science Conference|nan||924-925 ||nan
|1984|Lu-Hf and Sm-Nd evolution in lunar mare basalts|Unruh, D. M., Stille, P., Patchett, P. J., and Tatsumoto, M.|Journal of Geophysical Research|88 (S02)||B459-B477||http://dx.doi.org/10.1029/JB089iS02p0B459
|1981|Catalog of lunar mare basalts greater than 40 grams|Lofgren, G. E. and Lofgren, E. M.|nan|nan||nan||nan
|1980|Candidate samples for the earliest lunar crust|Jovanovic, S. and Reed, G. W.|Geochimica et Cosmochimica Acta|Suppl. 12 ||101-111 ||nan
|1979|Lead isotope systematics of three Taurus-Littrow mare basalts (abs)|Chen, J. H., Tilton, G. R., and Mattinson, J. M.|Proceedings of the 10th Lunar and Planetary Science Conference|nan||195-197 ||nan
|1979|The Sr and Nd isotopic record of Apollo 12 basalts: Implications for lunar geochemical evolution|Nyquist, L. E., Shih, C.-Y., Wooden, J. L., Bansal, B. M., and Wiesmann, H.|Proceedings of the 10th Lunar and Planetary Science Conference|nan||77-114 ||nan
|1979|Melt inclusions in 75075 and 78505- the problem of anomalous low-K inclusions in ilmenite revisited|Roedder, E.|Proceedings of the 10th Lunar and Planetary Science Conference|nan||249-257 ||nan
|1979|Lead isotope systematics of three Apollo 17 mare basalts|Tilton, G. R. and Chen, J. H.|Proceedings of the 10th Lunar and Planetary Science Conference|nan||259-274 ||nan
