|1979|Ilmenite in the crystallization sequence of lunar rocks|von Engelhardt, W.|Proceedings of the 10th Lunar and Planetary Science Conference|nan||677-694 ||nan
|1977|Petrology of breccias from Apollo 17 rake samples (abs)|Warner, R. D., Taylor, G. J., and Keil, K.|Proceedings of the 8th Lunar Science Conference|nan||987||nan
|1977|Petrology of crystalline matrix breccias from Apollo 17 rake samples|Warner, R. D., Taylor, G. J., and Keil, K.|Proceedings of the 8th Lunar Science Conference|nan||1987-2006 ||nan
|1977|In quest of primary highlands rocks (abs)|Warren, P. H., Mittlefehldt, D. W., Boynton, W. V., and Wasson, J. T.|Proceedings of the 8th Lunar Science Conference|nan||988-990 ||nan
|1977|SCCRV, a major component of highlands rocks|Wasson, J. T., Warren, P. H., Kallemeyn, G. W., McEwing, C. E., Mittlefehldt, D. W., and Boynton, W. V.|Proceedings of the 8th Lunar Science Conference|nan||2237-2252 ||nan
|1975|Chemical composition of Apollo 17 samples: Boulder breccias (2), rake breccias (8), and others|Laul, J. C. and Schmitt, R. A.|Proceedings of the 6th Lunar Science Conference|nan||489-491 ||nan
|1974|Description, classification and inventory of 113 Apollo 17 rake samples from stations 1A, 2, 7 and 8|Keil, K., Dowty, E., and Prinz, M.|nan|nan||nan||nan
