|1993|A concise compilation of petrologic information on possibly pristine nonmare Moon rocks|Warren, P. H.|American Mineralogist|nan||360-376 ||nan
|1992|The recognition of monomict and polymict clasts from Apollo 17 breccias (abs)|Neal, C. R., Taylor, L. A., Schmitt, R. A., and Liu, Y.-G.|Proceedings of the 23rd Lunar and Planetary Science Conference|nan||979-980 ||nan
|1991|Anorthosites with negative Eu anomalies in Apollo 17 breccias: Further evidence for REEP metasomatism (abs)|Eckert, J. O., Taylor, L. A., Neal, C. R., and Patchen, A. D.|Proceedings of the 22nd Lunar and Planetary Science Conference|nan||331-332 ||nan
|1991|Cumulate lithologies and melt rocks from Apollo 17 breccias: Correlations of whole-rock and mineral chemistry (abs)|Eckert, J. O., Taylor, L. A., Neal, C. R., and Schmitt, R. A.|Proceedings of the 22nd Lunar and Planetary Science Conference|nan||333-334 ||nan
|1991|Evidence for metasomatism of the lunar highlands and the origin of whitlockite|Neal, C. R. and Taylor, L. A.|Geochimica et Cosmochimica Acta|55.0||2965-2980 ||nan
|1990|The significance of fractional crystallization in the petrogenesis of Apollo 17 Type A and B high-Ti basalts|Neal, C. R., Taylor, L. A., Patchen, A. D., Hughes, S. S., and Schmitt, R. A.|Geochimica et Cosmochimica Acta|54.0||1817 - 1833 ||nan
|1990|An Apollo 17 safari: Exciting new clast from breccia pull apart efforts (abs)|Neal, C. R., Taylor, L. A., and Patchen, A. D.|Proceedings of the 21st Lunar and Planetary Science Conference|nan||859-860 ||nan
|1990|The dichotomy between primitive highland cumulates and evolved interstitial whitlockites: The process of REEP-fraction metasomatism (abs)|Neal, C. R., Taylor, L. A., and Patchen, A. D.|Proceedings of the 21st Lunar and Planetary Science Conference|nan||863-864 ||nan
