|1990|Petrology and chemistry of Apollo 17 regolith breccias: A history of mixing of highland and mare regolith|Simon, S. B., Papike, J. J., Gosselin, D. C., Laul, J. C., Hughes, S. S., and Schmitt, R. A.|Proceedings of the 20th Lunar and Planetary Science Conference|nan||219-230 ||nan
|1989|Comparative petrology and chemistry of Apollo 17 regolith breccias and soils (abs)|Simon, S. B., Papike, J. J., Laul, J. C., Hughes, S. S., and Schmitt, R. A.|Proceedings of the 20th Lunar and Planetary Science Conference|nan||1014-1015 ||nan
|1983|Regolith Breccia Workbook|Fruland, R. M.|nan|nan||nan||nan
|1983|Sixth foray for pristine nonmare rocks and an assessment of the diversity of lunar anorthosites|Warren, P. H., Taylor, G. J., Keil, K., Kallemeyn, G. W., Rosener, P. S., and Wasson, J. T.|Journal of Geophysical Research|88 (S02)||A615-A630||http://dx.doi.org/10.1029/JB088iS02p0A615
|1981|Petrochemistry of Apollo 16 and 17 samples (abs)|Simonds, C. H. and Warner, J. L.|Proceedings of the 12th Lunar and Planetary Science Conference|nan||993-995 ||nan
|1975|Thermal regimes in crater debris as deduced from the petrology of the Apollo 17 Station 6 boulder and rake samples (abs)|Simonds, C. H., Phinney, W. C., Warner, J. L., and Heiken, G. H.|Proceedings of the 6th Lunar Science Conference|nan||747-749 ||nan
|1974|Description, Classification and Inventory of Apollo 17 Rake Samples from Station 6|Phinney, W. C., Simonds, C. H., and Warner, J.|nan|nan||nan||nan
