|2009|A combined Sm–Nd, Rb–Sr, and U–Pb isotopic study of Mg-suite norite 78238: Further evidence for early differentiation of the Moon|Edmunson, J., Borg, L. E., Nyquist, L. E., and Asmerom, Y.|Geochimica et Cosmochimica Acta|73 (2)||514-527||http://dx.doi.org/10.1016/j.gca.2008.10.021
|2005|Three-system isotopic study of lunar norite 78238: Rb-Sr results (abs#1473)|Edmunson, J., Borg, L. E., Nyquist, L. E., and Asmerom, Y.|Proceedings of the 36th Lunar and Planetary Science Conference, |nan||nan||nan
|1983|Subdivision of the Mg-suite noritic rocks into Mg-gabbronorites and Mg-norites|James, O. B. and Flohr, M. K.|Proceedings of the 13th Lunar and Planetary Science Conference|nan||A603-A614 ||nan
|1982|Subdivision of the Mg-suite plutonic rocks into Mg-norites and Mg-gabbronorites (abs)|James, O. B.|Proceedings of the 13th Lunar and Planetary Science Conference|nan||360-362 ||nan
|1979|Catalog of pristine non-mare materials Part 1. Non-anorthosites. Revised|Ryder, G. and Norman, M. D.|nan|nan||nan||nan
|1975|The provenance of metal in anorthositic rocks|Hewins, R. H. and Goldstein, J. I.|Proceedings of the 6th Lunar Science Conference|nan||343-362 ||nan
|1975|Structure and petrology of a cumulus norite boulder sampled by Apollo 17 in Taurus-Littrow valley, the Moon|Jackson, E. D., Sutton, R. L., and Wilshire, H. G.|Geological Society of America Bulletin|86||433-442 ||nan
|1975|Petrology of noritic cumulates and a partial melting model for the genesis of Fra Mauro basalts|McCallum, I. S. and Mathez, E. A.|Proceedings of the 6th Lunar Science Conference|nan||395-414 ||nan
|1975|Petrology of noritic cumulates: Samples 78235 and 78238 (abs)|McCallum, I. S., Okamura, F. P., Mathez, E. A., and Ghose, S.|Proceedings of the 6th Lunar Science Conference|nan||534-536 ||nan
