|1980|Spinel cataclasites in 15445 and 72435: Petrology and criteria for equilibrium|Baker, M. B. and Herzberg, C. T.|Proceedings of the 11th Lunar and Planetary Science Conference|nan||535-553 ||nan
|1978|Clast assemblages of possible deep-seated -77517 and immiscible melt-77538 origins in Apollo 17 breccias|Warner, R. D., Taylor, G. J., Mansker, W. L., and Keil, K.|Proceedings of the 9th Lunar and Planetary Science Conference|nan||941-958 ||nan
|1978|Clasts in breccias 77517 and 77538: Evidence for deep- seated and immiscible melt origins (abs)|Warner, R. D., Taylor, G. J., and Keil, K.|Proceedings of the 9th Lunar and Planetary Science Conference|nan||1222-1224 ||nan
|1977|Petrology of breccias from Apollo 17 rake samples (abs)|Warner, R. D., Taylor, G. J., and Keil, K.|Proceedings of the 8th Lunar Science Conference|nan||987||nan
|1974|Description, classification and inventory of 113 Apollo 17 rake samples from stations 1A, 2, 7 and 8|Keil, K., Dowty, E., and Prinz, M.|nan|nan||nan||nan
