|1979|Ilmenite in the crystallization sequence of lunar rocks|von Engelhardt, W.|Proceedings of the 10th Lunar and Planetary Science Conference|nan||677-694 ||nan
|1976|Chemical and mineralogical homogeneity of Boulder #2, Apollo 17 Station #2 (abs)|Dymek, R. F., Albee, A. L., and Chodos, A. A.|Proceedings of the 7th Lunar Science Conference|nan||230-232 ||nan
|1976|Petrology and origin of Boulders #2 and #3, Apollo 17 Station 2|Dymek, R. F., Albee, A. L., and Chodos, A. A.|Proceedings of the 7th Lunar Science Conference|nan||2335-2378 ||nan
|1974|Preliminary investigation of Boulders 2 and 3, Apollo 17, Station 2: Petrology and Rb-Sr model ages (abs)|Albee, A. L., Chodos, A. A., Dymek, R. F., Gancarz, A. J., and Goldman, D. S.|Proceedings of the 5th Lunar Science Conference|nan||6-8 ||nan
|1974|Chemical composition of Apollo 17 boulder-2 rocks and soils (abs)|Laul, J. C. and Schmitt, R. A.|Proceedings of the 5th Lunar Science Conference|nan||438-440 ||nan
|1974|Chemical composition of boulder-2 rocks and soils, Apollo 17, station 2|Laul, J. C. and Schmitt, R. A.|Earth and Planetary Science Letters|23 (2)||206-219||http://dx.doi.org/10.1016/0012-821x(74)90195-2
|1974|Siderophile and volatile trace elements in Apollo 17 boulder-2 rocks and soils (abs)|Laul, J. C. and Schmitt, R. A.|Proceedings of the 5th Lunar Science Conference|nan||441-443 ||nan
|1974|Chemical studies of Apollo 16 and 17 samples|Laul, J. C., Hill, D. W., and Schmitt, R. A.|Proceedings of the 5th Lunar Science Conference|nan||1047-1066 ||nan
|1974|Irradiation records in orange glass and two boulders from Apollo 17 (abs)|Macdougall, D., Hutcheon, I. D., and Price, P. B.|Proceedings of the 5th Lunar Science Conference|nan||483-485 ||nan
|1974|Petrography and classification of Apollo 17 non-mare rocks with emphasis on samples from the Station 6 boulder|Simonds, C. H., Phinney, W. C., and Warner, J. L.|Proceedings of the 5th Lunar Science Conference|nan||337-353 ||nan
|1974|Isotopic evidence for a terminal lunar cataclysm|Tera, F., Papanastassiou, D. A., and Wasserburg, G. J.|Earth and Planetary Science Letters|22||1-21 ||nan
