-02:37:22|Countdown
000:00:00|Launch
000:11:54|Earth Orbit
003:12:29|On the Way to the Moon
088:43:00|In Lunar Orbit
093:30:00|Lunar Descent
113:02:13|Day 1 On the Surface
136:55:03|Day 2 On the Surface
160:24:02|Day 3 On the Surface
188:01:28|Lunar Launch
190:17:34|Lunar Orbit Before Return
236:52:03|Returning to Earth
304:17:46|Re-entry
