-02:37:22|Prelaunch
000:00:00|Launch
000:11:54|Earth Orbit
003:12:29|On the Way to the Moon
088:43:00|Lunar Orbit Prior to Descent
093:30:00|Lunar Descent
113:02:13|On the Surface - Day 1
136:55:03|On the Surface - Day 2
160:24:02|On the Surface - Day 3
188:01:28|Lunar Orbit Rendezvous
190:17:34|Lunar Orbit Prior to Trip Home
236:52:03|On the Way back to Earth
304:17:46|Reentry
304:32:00|Back on Earth
