|2007|Apollo sample 70051 and high- and low-Ti lunar soil simulants MLS-1A and JSC-1A: Implications for future lunar exploration|Hill, E., Mellin, M. J., Deane, B., Liu, Y., and Taylor, L. A.|Journal of Geophysical Research|112 (E2)||nan||http://dx.doi.org/10.1029/2006je002767
|2006|Magnetic properties of unique Apollo 17 soil 70051 (abs#1945)|Liu, Y. L., Thompson, J. R., Taylor, L. A., and Park, J.|Proceedings of the 37th Lunar and Planetary Science Conference, |nan||nan||nan
|2006|Characterization of a unique soil sample from the Apollo 17 site, 70051 (abs#2334)|Mellin, M. J., Taylor, L. A., and Patchen, A. D.|Proceedings of the 37th Lunar and Planetary Science Conference, |nan||nan||nan
