|1992|Interference imaging of plagioclase in lunar materials (abs)|Pearce, T. H. and Timms, C.|Proceedings of the 23rd Lunar and Planetary Science Conference|nan||1045||nan
|1991|Exploring the lunar mantle with secondary ion mass spectrometry: a comparison of lunar picritic glass beads from the Apollo 14 and Apollo 17 sites|Shearer, C. K., Papike, J. J., Galbreath, K. C., and Shimizu, N.|Earth and Planetary Science Letters|102 (2)||134-147||http://dx.doi.org/10.1016/0012-821x(91)90003-z
|1990|Resolution of ages and Sm-Nd isotopic characteristics in Apollo 17 high-Ti basalts (abs)|Paces, J. B., Nakai, S., Neal, C. R., Taylor, L. A., Halliday, A. N., Lee, D.-C., and McKinney, M. C.|Proceedings of the 21st Lunar and Planetary Science Conference|nan||924-925 ||nan
|1989|Germanium abundances in lunar basalts: Evidence of mantle metasomatism|Dickinson, T., Taylor, G. J., Keil, K., and Bild, R. W.|Proceedings of the 19th Lunar and Planetary Science Conference|nan||189-198 ||nan
|1989|Petrography of lunar ilmenite resources (abs)|Heiken, G. H. and Vaniman, D. T.|Proceedings of the 20th Lunar and Planetary Science Conference|nan||400-401 ||nan
|1988|Late-stage enrichment of Ge in the magma ocean: Evidence from lunar basalts (abs)|Dickinson, T., Bild, R. W., Taylor, G. J., and Keil, K.|Proceedings of the 19th Lunar and Planetary Science Conference|nan||277-278 ||nan
|1988|Normal and anomalous compositions of lunar feldspars- I. Lunar plagioclases (abs)|Miura, Y.|Proceedings of the 19th Lunar and Planetary Science Conference|nan||794-795 ||nan
|1987|The Lunar Petrographic Thin Section Set|Meyer, C.|nan|nan||nan||nan
|1987|Lunar boron: A preliminary study (abs)|Shaw, D. M. and Middleton, T. A.|Proceedings of the 18th Lunar and Planetary Science Conference|nan||912-913 ||nan
|1985|Zr-Hf-Ta fractionation during lunar evolution|Hughes, S. S. and Schmitt, R. A.|Journal of Geophysical Research|90 (S01)||31||http://dx.doi.org/10.1029/JB090iS01p00031
|1984|Lu-Hf and Sm-Nd evolution in lunar mare basalts|Unruh, D. M., Stille, P., Patchett, P. J., and Tatsumoto, M.|Journal of Geophysical Research|88 (S02)||B459-B477||http://dx.doi.org/10.1029/JB089iS02p0B459
|1982|A new indicator of formation process based on bulk An and Or contents of terrestrial and extraterrestrial plagioclases with or without exsolution (abs)|Miura, Y.|Proceedings of the 13th Lunar and Planetary Science Conference|nan||524-525 ||nan
|1981|Catalog of lunar mare basalts greater than 40 grams|Lofgren, G. E. and Lofgren, E. M.|nan|nan||nan||nan
|1980|Six lunar rocks have little carbon and nitrogen and some rocks have detectable spallogenic 13C (abs)|Des Marais, D. J.|Proceedings of the 11th Lunar and Planetary Science Conference|nan||228-230 ||nan
