|1990|Petrology and chemistry of Apollo 17 regolith breccias: A history of mixing of highland and mare regolith|Simon, S. B., Papike, J. J., Gosselin, D. C., Laul, J. C., Hughes, S. S., and Schmitt, R. A.|Proceedings of the 20th Lunar and Planetary Science Conference|nan||219-230 ||nan
|1989|Comparative petrology and chemistry of Apollo 17 regolith breccias and soils (abs)|Simon, S. B., Papike, J. J., Laul, J. C., Hughes, S. S., and Schmitt, R. A.|Proceedings of the 20th Lunar and Planetary Science Conference|nan||1014-1015 ||nan
|1985|Nitrogen abundance and isotopes in lunar breccias- a progress report (abs)|Carr, L. P. and Wright, I. P.|Proceedings of the 16th Lunar and Planetary Science Conference|nan||115-116 ||nan
|1983|Regolith Breccia Workbook|Fruland, R. M.|nan|nan||nan||nan
|1974|Determination of natural and cosmic ray induced radionuclides in Apollo 17 lunar samples|Keith, J. E., Clark, R. S., and Bennett, L. J.|Proceedings of the 5th Lunar Science Conference|nan||2121-2138 ||nan
|1974|22Na-26Al chronology of lunar surface processes|Yokoyama, Y., Reyss, J. L., and Guichard, F.|Proceedings of the 5th Lunar Science Conference|nan||2231-2247 ||nan
|1973|Preliminary examination of lunar samples from Apollo 17|Lunar Sample Preliminary Examination Team|Apollo 17 Preliminary Science Report|nan||7-1-7-46 ||nan
