|1992|Trace elements in 59 mostly highland moon rocks|Ebihara, M., Wof, R., Warren, P. H., and Anders, E.|Proceedings of the 22nd Lunar and Planetary Science Conference|nan||417-426 ||nan
|1980|Candidate samples for the earliest lunar crust|Jovanovic, S. and Reed, G. W.|Geochimica et Cosmochimica Acta|Suppl. 12 ||101-111 ||nan
|1979|Ilmenite in the crystallization sequence of lunar rocks|von Engelhardt, W.|Proceedings of the 10th Lunar and Planetary Science Conference|nan||677-694 ||nan
|1977|Spectral reflectance of lunar highland rocks (abs)|Charette, M. P. and Adams, J. B.|Proceedings of the 8th Lunar Science Conference|nan||172-174 ||nan
|1976|Chemical and mineralogical homogeneity of Boulder #2, Apollo 17 Station #2 (abs)|Dymek, R. F., Albee, A. L., and Chodos, A. A.|Proceedings of the 7th Lunar Science Conference|nan||230-232 ||nan
|1976|Petrology and origin of Boulders #2 and #3, Apollo 17 Station 2|Dymek, R. F., Albee, A. L., and Chodos, A. A.|Proceedings of the 7th Lunar Science Conference|nan||2335-2378 ||nan
|1976|Thermal diffusivity of four Apollo 17 rock samples|Horai, K. and Winkler, J. L.|Proceedings of the 7th Lunar Science Conference|nan||3183-3204 ||nan
|1975|Total sulfur contents of Apollo 15, 16, and 17 samples (abs)|Cripe, J. D. and Moore, C. B.|Proceedings of the 6th Lunar Science Conference|nan||167-169 ||nan
|1975|Cl and P205 systematics: Clues to early lunar magmas|Jovanovic, S. and Reed, G. W.|Proceedings of the 6th Lunar Science Conference|nan||1737-1751 ||nan
|1975|History of Boulder 1 at Station 2, Apollo 17 based on trace element interrelationships|Jovanovic, S. and Reed, G. W.|Nature Geoscience|14||385-393 ||nan
|1975|New data on the chemistry of lunar samples: Primary matter in the lunar highlands and the bulk composition of the moon|Wänke, H., Palme, C., Baddenhausen, H., Dreibus, G., Jagoutz, E., Kruse, H., Palme, C., Spettel, B., Teschke, F., and Thacker, R.|Proceedings of the 6th Lunar Science Conference|nan||1313-1340 ||nan
|1975|New data on the chemistry of lunar samples and about the major element composition of KREEP (abs)|Wänke, H., Palme, H., Baddenhausen, H., Dreibus, G., Jagoutz, E., Kruse, H., Spettel, B., Teschke, F., and Thacker, R.|Proceedings of the 6th Lunar Science Conference|nan||844-846 ||nan
|1974|Preliminary investigation of Boulders 2 and 3, Apollo 17, Station 2: Petrology and Rb-Sr model ages (abs)|Albee, A. L., Chodos, A. A., Dymek, R. F., Gancarz, A. J., and Goldman, D. S.|Proceedings of the 5th Lunar Science Conference|nan||6-8 ||nan
|1974|Apollo 17 particle track studies: surface residence times and fission track ages for orange glass and large boulders|Hutcheon, I. D., Macdougall, D., and Stevenson, J.|Proceedings of the 5th Lunar Science Conference|nan||2597-2608 ||nan
|1974|Labile and nonlabile element relationships among Apollo 17 samples|Jovanovic, S. and Reed, G. W.|Proceedings of the 5th Lunar Science Conference|nan||1685-1701 ||nan
|1974|Chemical composition of Apollo 17 boulder-2 rocks and soils (abs)|Laul, J. C. and Schmitt, R. A.|Proceedings of the 5th Lunar Science Conference|nan||438-440 ||nan
|1974|Chemical composition of boulder-2 rocks and soils, Apollo 17, station 2|Laul, J. C. and Schmitt, R. A.|Earth and Planetary Science Letters|23 (2)||206-219||http://dx.doi.org/10.1016/0012-821x(74)90195-2
|1974|Siderophile and volatile trace elements in Apollo 17 boulder-2 rocks and soils (abs)|Laul, J. C. and Schmitt, R. A.|Proceedings of the 5th Lunar Science Conference|nan||441-443 ||nan
|1974|Chemical studies of Apollo 16 and 17 samples|Laul, J. C., Hill, D. W., and Schmitt, R. A.|Proceedings of the 5th Lunar Science Conference|nan||1047-1066 ||nan
|1974|Irradiation records in orange glass and two boulders from Apollo 17 (abs)|Macdougall, D., Hutcheon, I. D., and Price, P. B.|Proceedings of the 5th Lunar Science Conference|nan||483-485 ||nan
|1974|Total carbon and sulfur contents of Apollo 17 lunar samples|Moore, C. B., Lewis, C. F., and Cripe, J. D.|Proceedings of the 5th Lunar Science Conference|nan||1897-1906 ||nan
|1974|Petrography and classification of Apollo 17 non-mare rocks with emphasis on samples from the Station 6 boulder|Simonds, C. H., Phinney, W. C., and Warner, J. L.|Proceedings of the 5th Lunar Science Conference|nan||337-353 ||nan
