|1999|The granulitic impactite suite: Impact melts and metamorphic breccias of the early lunar crust|Cushing, J. A., Taylor, G. J., Norman, M. D., and Keil, K.|Meteoritics & Planetary Science|34.0||185-195||http://dx.doi.org/10.1111/j.1945-5100.1999.tb01745.x
|1994|Siderophile and volatile elements in Apollo 17 impact melts (abs)|James, O. B.|Proceedings of the 25th Lunar and Planetary Science Conference|nan||617-618 ||nan
|1981|Guidebook for the Boulders at Station 6, Apollo 17|Phinney, W. C.|nan|nan||125||nan
|1977|Lunar basins and craters: Evidence for systematic compositional changes of bombarding population|Hertogen, J., Janssens, M.-J., Takahashi, H., Palme, H., and Anders, E.|Proceedings of the 8th Lunar Science Conference|nan||17-45 ||nan
|1977|Feldspathic granulitic impactites and pre-final bombardment lunar evolution|Warner, J. L., Phinney, W. C., Bickel, C. E., and Simonds, C. H.|Proceedings of the 8th Lunar Science Conference|nan||2051-2066 ||nan
|1976|The chronology of the Apollo 17 Station 6 boulder|Cadogan, P. H. and Turner, G.|Proceedings of the 7th Lunar Science Conference|nan||2267-2285 ||nan
|1975|Ancient meteoritic component in Apollo 17 boulders|Higuchi, H. and Morgan, J. W.|Proceedings of the 6th Lunar Science Conference|nan||1625-1651 ||nan
|1975|Thermal regimes in impact melts and the petrology of the Apollo 17 Station 6 boulder|Simonds, C. H.|Proceedings of the 6th Lunar Science Conference|nan||641-672 ||nan
|1974|Noble gases in Apollo 17 boulders and soils (abs)|Bogard, D. D., Nyquist, L. E., and Hirsch, W. C.|Proceedings of the 5th Lunar Science Conference|nan||73-75 ||nan
|1974|Petrography and classification of Apollo 17 non-mare rocks with emphasis on samples from the Station 6 boulder|Simonds, C. H., Phinney, W. C., and Warner, J. L.|Proceedings of the 5th Lunar Science Conference|nan||337-353 ||nan
