|1999|Space weathering on the Moon: Patina on Apollo 17 samples 75075 and 76015|Wentworth, S. J., Keller, L. P., McKay, D. S., and Morris, R. V.|Meteoritics & Planetary Science|34||593-603 ||nan
|1998|Space weathering effects on Apollo 17 breccia 76015: Reflectance spectroscopy and microstructure (abs)|Keller, L. P., Wentworth, S. J., and McKay, D. S.|Proceedings of the 29th Lunar and Planetary Science Conference, |nan||nan||nan
|1994|Siderophile and volatile elements in Apollo 17 impact melts (abs)|James, O. B.|Proceedings of the 25th Lunar and Planetary Science Conference|nan||617-618 ||nan
|1987|Hydrogen distributions in lunar materials (abs)|Gibson, E. K., Bustin, R., Skaugset, A., Can, R. H., Wentworth, S. J., and McKay, D. S.|Proceedings of the 18th Lunar and Planetary Science Conference|nan||326-327 ||nan
|1984|Most olivine in the lunar highlands is of shallow origin (abs)|Ryder, G.|Proceedings of the 15th Lunar and Planetary Science Conference|nan||707-708 ||nan
|1981|Guidebook for the Boulders at Station 6, Apollo 17|Phinney, W. C.|nan|nan||125||nan
|1981|Apollo 17 impact melts and their relation to the Serenitatis basin|Spudis, P. D. and Ryder, G.|Geochimica et Cosmochimica Acta|Suppl. 15 ||133-148 ||nan
|1979|Hypervelocity impact craters less than 1000A diameter (abs)|Clanton, U. S. and Morrison, D. A.|Proceedings of the 10th Lunar and Planetary Science Conference|nan||212-214 ||nan
|1979|Properties of microcraters and cosmic dust of less than 1000 A dimensions|Morrison, D. A. and Clanton, U. S.|Proceedings of the 10th Lunar and Planetary Science Conference|nan||1649-1663 ||nan
|1979|Ilmenite in the crystallization sequence of lunar rocks|von Engelhardt, W.|Proceedings of the 10th Lunar and Planetary Science Conference|nan||677-694 ||nan
|1978|Origin of magnetization in lunar breccias: An example of thermal overprinting|Gose, W. A., Strangway, D. W., and Pearce, G. W.|Earth and Planetary Science Letters|38 (2)||373-384||http://dx.doi.org/10.1016/0012-821X(78)90111-5
|1978|New data on lunar samples and achondrites and a comparison of the least fractionated samples from the earth, the moon, and the eucrite parent body|Palme, H., Baddenhausen, H., Blum, K., Cendales, M., Dreibus, G., Hofmeister, H., Kruse, H., Palme, C., Spettel, B., Vilcsek, E., and Wänke, H.|Proceedings of the 9th Lunar and Planetary Science Conference|nan||25-57 ||nan
|1977|Spectral reflectance of lunar highland rocks (abs)|Charette, M. P. and Adams, J. B.|Proceedings of the 8th Lunar Science Conference|nan||172-174 ||nan
|1977|Experimental melting relations of 63545, 76015 and 76055|Delano, J. W.|Proceedings of the 8th Lunar Science Conference|nan||2097-2123 ||nan
|1977|Lunar basins and craters: Evidence for systematic compositional changes of bombarding population|Hertogen, J., Janssens, M.-J., Takahashi, H., Palme, H., and Anders, E.|Proceedings of the 8th Lunar Science Conference|nan||17-45 ||nan
|1977|Petrologic evidence for formation and solidification of impact melts (abs)|Phinney, W. C., Warner, J. L., and Simonds, C. H.|Proceedings of the 8th Lunar Science Conference|nan||770-772 ||nan
|1977|Apollo 14 revisited, or breccias aren't so bad after all|Simonds, C. H., Phinney, W. C., Warner, J. L., McGee, P. E., Geeslin, J., Brown, R. W., and Rhodes, M. J.|Proceedings of the 8th Lunar Science Conference|nan||1869-1893 ||nan
|1976|The chronology of the Apollo 17 Station 6 boulder|Cadogan, P. H. and Turner, G.|Proceedings of the 7th Lunar Science Conference|nan||2267-2285 ||nan
|1976|Native FeNi metal particles in Apollo 17 Station 6 boulder (abs)|Misra, K. C., Walker, B. M., and Taylor, L. A.|Proceedings of the 7th Lunar Science Conference|nan||565-567 ||nan
|1976|Textures and compositions of metal particles in Apollo 17, Station 6 boulder samples|Misra, K. C., Walker, B. M., and Taylor, L. A.|Proceedings of the 7th Lunar Science Conference|nan||2251-2266 ||nan
|1976|Heat flow in impact melts: Apollo 17 Station 6 Boulder and some applications to other breccias and xenolith laden melts|Onorato, P. I. K., Uhlmann, D. R., and Simonds, C. H.|Proceedings of the 7th Lunar Science Conference|nan||2449-2467 ||nan
|1976|Thermal model for impact breccia lithification: Manicouagan and the moon|Simonds, C. H., Warner, J. L., and McGee, P. E.|Proceedings of the 7th Lunar Science Conference|nan||2509-2528 ||nan
|1976|Clast-melt interactions in lunar and terrestrial impact melts (abs)|Simonds, C. H., Warner, J. L., and Phinney, W. C.|Proceedings of the 7th Lunar Science Conference|nan||812-814 ||nan
|1976|Characterization of crust formation on a parent body of achondrites and the Moon by pyroxene crystallography and chemistry|Takeda, H., Miyamoto, M., Ishii, T., and Reid, A. M.|Proceedings of the 7th Lunar Science Conference|nan||3535-3548 ||nan
|1975|Cosmic ray exposure ages of features and events at the Apollo landing sites|Arvidson, R., Crozaz, G., Drozd, R. J., Hohenberg, C. M., and Morgan, C. J.|The Moon|13 (1)||259-276||http://dx.doi.org/10.1007/bf00567518
|1975|Morphology and composition of chalcopyrite, chromite, Cu, Ni-Fe, pentandite, and troilite in vugs of 76015 and 76215|Carter, J. L., Clanton, U. S., Fuhrman, R., Laughton, R. B., McKay, D. S., and Usselman, T. M.|Proceedings of the 6th Lunar Science Conference|nan||719-728 ||nan
|1975|Ancient meteoritic component in Apollo 17 boulders|Higuchi, H. and Morgan, J. W.|Proceedings of the 6th Lunar Science Conference|nan||1625-1651 ||nan
|1975|Studies of solar flares and impact craters in partially protected crystals|Morrison, D. A. and Zinner, E.|Proceedings of the 6th Lunar Science Conference|nan||3373-3390 ||nan
|1975|Thermal regimes in impact melts and the petrology of the Apollo 17 Station 6 boulder|Simonds, C. H.|Proceedings of the 6th Lunar Science Conference|nan||641-672 ||nan
|1975|Thermal regimes in crater debris as deduced from the petrology of the Apollo 17 Station 6 boulder and rake samples (abs)|Simonds, C. H., Phinney, W. C., Warner, J. L., and Heiken, G. H.|Proceedings of the 6th Lunar Science Conference|nan||747-749 ||nan
|1975|A compilation of the Lunar Sample Data Generated by the Gast, Nyquist and Hubbard Lunar Sample PI-Ships|Wiesmann, H. and Hubbard, N. J.|nan|nan||nan||nan
|1975|Origin of the Station 7 boulder: A note|Winzer, S. R., Nava, D. F., Schuhmann, S., Lum, R. K. L., and Philpotts, J. A.|Proceedings of the 6th Lunar Science Conference|nan||707-710 ||nan
|1974|Lunar surface phenomena: Solar flare track gradients, microcraters, and accretionary particles|Blanford, G. E., Fruland, R. M., McKay, D. S., and Morrison, D. A.|Proceedings of the 5th Lunar Science Conference|nan||2501-2526 ||nan
|1974|Noble gases in Apollo 17 boulders and soils (abs)|Bogard, D. D., Nyquist, L. E., and Hirsch, W. C.|Proceedings of the 5th Lunar Science Conference|nan||73-75 ||nan
|1974|Lunar surface dynamics: Some general conclusions and new results from Apollo 16 and 17|Crozaz, G., Drozd, R. J., Hohenberg, C., Morgan, C., Ralston, C., Walker, R., and Yuhas, D.|Proceedings of the 5th Lunar Science Conference|nan||2475-2499 ||nan
|1974|Sulfur abundances and distributions in the valley of Taurus-Littrow|Gibson, E. K. and Moore, G. W.|Proceedings of the 5th Lunar Science Conference|nan||1823-1837 ||nan
|1974|Sulfur abundances in the valley of Taurus-Littrow|Gibson, E. K. and Moore, G. W.|Proceedings of the 5th Lunar Science Conference|nan||1823-1837 ||nan
|1974|The chemical definition and interpretation of rock types from the non-mare regions of the Moon|Hubbard, N. J., Rhodes, J. M., Wiesmann, H., Shih, C. Y., and Bansal, B. M.|Proceedings of the 5th Lunar Science Conference|nan||1227-1246 ||nan
|1974|Taurus-Littrow chronology: some constraints on early lunar crustal development|Nyquist, L. E., Bansal, B. M., Wiesmann, H., and Jahn, B.-M.|Proceedings of the 5th Lunar Science Conference|nan||1515-1539 ||nan
|1974|Magnetism of the Apollo 17 samples (abs)|Pearce, G. W., Gose, W. A., and Strangway, D. W.|Proceedings of the 5th Lunar Science Conference|nan||590-592 ||nan
|1974|Magnetic properties of Apollo samples and implications for regolith formation|Pearce, G. W., Strangway, D. W., and Gose, W. A.|Proceedings of the 5th Lunar Science Conference|nan||2815-2826 ||nan
|1974|The relationships between geology and soil chemistry at the Apollo 17 landing site|Rhodes, J. M., Rodgers, K. V., Shih, C.-Y., Bansal, B. M., Nyquist, L. E., Wiesmann, H., and Hubbard, N. J.|Proceedings of the 5th Lunar Science Conference|2||1097-1117 ||nan
|1974|Petrography and classification of Apollo 17 non-mare rocks with emphasis on samples from the Station 6 boulder|Simonds, C. H., Phinney, W. C., and Warner, J. L.|Proceedings of the 5th Lunar Science Conference|nan||337-353 ||nan
|1973|Preliminary examination of lunar samples from Apollo 17|Lunar Sample Preliminary Examination Team|Apollo 17 Preliminary Science Report|nan||7-1-7-46 ||nan
|1973|Determination by non-destructive gamma-ray counting of radionuclides produced by the August 1972 solar flare (abs)|Schonfeld, E.|Proceedings of the 4th Lunar Science Conference|nan||659||nan
