|1991|A strontium and neodymium isotopic study of Apollo 17 high-Ti mare basalts: Resolution of ages, evolution of magmas, and origins of source heterogeneities|Paces, J. B., Nakai, S., Neal, C. R., Taylor, L. A., Halliday, A. N., and Lee, D. C.|Geochimica et Cosmochimica Acta|55 (7)||2025-2043||http://dx.doi.org/10.1016/0016-7037(91)90040-c
|1990|Resolution of ages and Sm-Nd isotopic characteristics in Apollo 17 high-Ti basalts (abs)|Paces, J. B., Nakai, S., Neal, C. R., Taylor, L. A., Halliday, A. N., Lee, D.-C., and McKinney, M. C.|Proceedings of the 21st Lunar and Planetary Science Conference|nan||924-925 ||nan
|1990|Open- and closed-system magma evolution of Apollo 17 high-Ti basalts and origin of source heterogeneities at 4.1 Ga: Sr-Nd isotopic evidence (abs)|Paces, J. B., Neal, C. R., Nakai, S., Taylor, L. A., and Halliday, A. N.|Proceedings of the 21st Lunar and Planetary Science Conference|nan||926-927 ||nan
|1979|Composition, petrography, and genesis of Apollo 17 high-Ti mare basalts (abs)|Ma, M.-S., Schmitt, R. A., Warner, R. D., Taylor, G. J., and Keil, K.|Proceedings of the 10th Lunar and Planetary Science Conference|nan||765-767 ||nan
|1979|Apollo 17 high-Ti mare basalts: New bulk compositional data, magma types, and petrogenesis|Warner, R. D., Taylor, G. J., Conrad, G. H., Northrop, H. R., Barker, S., Keil, K., Ma, M.-S., and Schmitt, R. A.|Proceedings of the 10th Lunar and Planetary Science Conference|nan||225-247 ||nan
