1979LPSC...10.1457V|1979|Grain-size dependent distributions of elements and their origin in minerals and agglutinates of soil 75080.|von Gunten, H. R., Gruetter, A., Jost, D., Kraehenbuehl, U., Meyer, G., Wegmueller, F.|Lunar and Planetary Science Conference Proceedings|2||1457|ABSTRACT_PLACEHOLDER|
1978LPSC....9.2269V|1978|Trace and major elements in grain-size fractions of separated minerals and agglutinates of soil 70160 and implications on their origin.|von Gunten, H. R., Krähenbühl, U., Grütter, A., Jost, D., Meyer, G., Peng, K., Wegmüller, F., Wyttenbach, A.|Lunar and Planetary Science Conference Proceedings|2||2269|Apollo 17 soil 70160 was separated into 7 grain-size fractions with mean diameters between 3.6 and 450 microns. The fractions above 7 microns were further partitioned into mineral-rich and agglutinate-rich portions using a magnetic separator. Five major and more than 20 volatile and nonvolatile trace elements were measured in each fraction using INAA and RNAA techniques. The concentrations of the volatile trace elements in the agglutinate-rich fraction are always higher (up to a factor of 10) and are predominantly volume correlated. The grain-size dependency of the volatiles in the mineral-rich fraction is much more pronounced. Major elements and nonvolatile trace elements are about equally distributed among the agglutinates and minerals and do not show a systematic trend in their size dependency. The enrichments of siderophilic and chalcophilic trace elements in the regolith are due to meteoritic (Au, Co, Ge, Te) and volcanic (Cd, Zn) contributions. Mare basalts represent the main source for the lithophilic elements in the regolith.|
1978AcHPh..51..490V|1978|Trace Elements in Grain-Size Fractions of Lunar Minerals and Agglutinates|von Gunten, H. R., Krahenbuhl, U., Meyer, G., Wegmuller, F.|Helvetica Physica Acta|51||490|ABSTRACT_PLACEHOLDER|
